序号,传输方向,时间戳,ID,帧格式,帧类型,长度,数据,
1245346,接收,18:42:13.524.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C F5 00 12 05 32 ,
1245347,接收,18:42:13.540.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C FB 00 12 05 32 ,
1245348,接收,18:42:13.556.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C FC 00 12 05 32 ,
1245349,接收,18:42:13.556.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C FA 00 12 05 32 ,
1245350,接收,18:42:13.571.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C F6 00 12 05 32 ,
1245351,接收,18:42:13.586.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C F4 00 12 05 32 ,
1245352,接收,18:42:13.586.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C EE 00 12 05 32 ,
1245353,接收,18:42:13.601.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C E4 00 12 05 32 ,
1245354,接收,18:42:13.602.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C DC 00 12 05 32 ,
1245355,接收,18:42:13.616.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C D5 00 12 05 32 ,
1245356,接收,18:42:13.632.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C D1 00 12 05 32 ,
1245357,接收,18:42:13.632.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C CB 00 12 05 32 ,
1245358,接收,18:42:13.648.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C C9 00 12 05 32 ,
1245359,接收,18:42:13.664.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C CC 00 12 05 32 ,
1245360,接收,18:42:13.664.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C CD 00 12 05 32 ,
1245361,接收,18:42:13.680.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C C7 00 12 05 32 ,
1245362,接收,18:42:13.696.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C BB 00 12 05 32 ,
1245363,接收,18:42:13.696.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C B0 00 12 05 32 ,
1245364,接收,18:42:13.711.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C AA 00 12 05 32 ,
1245365,接收,18:42:13.712.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C AF 00 12 05 32 ,
1245366,接收,18:42:13.727.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C BC 00 12 05 32 ,
1245367,接收,18:42:13.742.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C C4 00 12 05 32 ,
1245368,接收,18:42:13.742.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C CB 00 12 05 32 ,
1245369,接收,18:42:13.757.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C CE 00 12 05 32 ,
1245370,接收,18:42:13.774.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C D0 00 12 05 32 ,
1245371,接收,18:42:13.774.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C CE 00 12 05 32 ,
1245372,接收,18:42:13.789.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C CE 00 12 05 32 ,
1245373,接收,18:42:13.805.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C D1 00 12 05 32 ,
1245374,接收,18:42:13.805.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C D2 00 12 05 32 ,
1245375,接收,18:42:13.821.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C CF 00 12 05 32 ,
1245376,接收,18:42:13.836.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C C8 00 12 05 32 ,
1245377,接收,18:42:13.836.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C C1 00 12 05 32 ,
1245378,接收,18:42:13.851.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C BD 00 12 05 32 ,
1245379,接收,18:42:13.852.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C BC 00 12 05 32 ,
1245380,接收,18:42:13.867.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C C1 00 12 05 32 ,
1245381,接收,18:42:13.882.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C C5 00 12 05 32 ,
1245382,接收,18:42:13.882.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C C8 00 12 05 32 ,
1245383,接收,18:42:13.899.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C C8 00 12 05 32 ,
1245384,接收,18:42:13.914.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C C5 00 12 05 32 ,
1245385,接收,18:42:13.914.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C C3 00 12 05 32 ,
1245386,接收,18:42:13.931.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C C1 00 12 05 32 ,
1245387,接收,18:42:13.931.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C C0 00 12 05 32 ,
1245388,接收,18:42:13.946.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C BF 00 12 05 32 ,
1245389,接收,18:42:13.962.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C BB 00 12 05 32 ,
1245390,接收,18:42:13.962.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C B7 00 12 05 32 ,
1245391,接收,18:42:13.977.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C B1 00 12 05 32 ,
1245392,接收,18:42:13.993.0,0x000003c2,标准帧,数据帧,0x08,80 00 6C AE 00 12 05 32 ,
